use_total,datetime,use_m2,FurnaceHRV_m2,CellarOutlets_m2,WashingMachine_m2,FridgeRange_m2,DisposalDishwasher_m2,KitchenLights_m2,BedroomOutlets_m2,BedroomLights_m2,MasterOutlets_m2,MasterLights_m2,DuctHeaterHRV_m2,use_m3,ElectricRange_m3,Dryer_m3,GarageMudroomLights_m3,DiningRoomOutlets_m3,MudroomOutlets_m3,MasterBathOutlets_m3,GarageOutlets_m3,BasementOutdoorOutlets_m3,use_m4,KitchenDenLights_m4,MasterBedBathLights_m4,MasterOutlets_m4,DenOutdoorLights_m4,DenOutlets_m4,RearBasementLights_m4,KitchenOutletsEast_m4,KitchenOutletsSouth_m4,DishwasherDisposalSinkLight_m4,Refrigerator_m4,Microwave_m4,OfficeLights_m4,temperature,humidity,visibility,apparenttemperature,pressure,windspeed,cloudcover,windbearing,precipintensity,dewpoint,precipprobability,icon
1.5118283339999998,2014-01-01 00:00:00,1.469134445,0.377496111,0.119343333,0.011365,0.10103,0.0109805559999999,0.0173538889999999,0.041022223,0.013768333,0.09824,0.0202772219999999,0.6582577780000001,0.042693889,0.005905,0.010671667,0.026117222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.53,10.0,3.95,1022.69,11.23,0.0,271.0,0.0,2.41,0.0,clear-night
1.434669444,2014-01-01 01:00:00,1.3920400000000002,0.316933333,0.118440556,0.011306667,0.096867222,0.010955,0.006245,0.041022222,0.009745555,0.104162222,0.020178334,0.656183889,0.0426294439999999,0.005933889,0.01061,0.026085555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.19,0.52,10.0,4.18,1022.58,9.92,0.02,268.0,0.0,1.68,0.0,clear-night
1.2853861109999998,2014-01-01 02:00:00,1.2429583329999998,0.223644444,0.084956111,0.011171667,0.086713889,0.010858333,0.0062299999999999,0.040796111,0.009681111,0.097835,0.020004445,0.651067222,0.042427778,0.006000556,0.010637222,0.02579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69,0.55,10.0,4.41,1023.61,8.72,0.0,266.0,0.0,2.59,0.0,clear-night
1.196027776,2014-01-01 03:00:00,1.153288887,0.137058888,0.083012777,0.011119444,0.089537222,0.010865,0.006261666,0.041064445,0.009692222,0.097447222,0.020066112,0.647163889,0.042738889,0.006050556,0.010738889,0.025949444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.29,0.58,10.0,4.29,1024.31,8.25,0.0,269.0,0.0,3.29,0.0,clear-night
1.207828331,2014-01-01 04:00:00,1.164819442,0.149080556,0.077003333,0.0111294439999999,0.089555555,0.010937222,0.008888889,0.041283333,0.009739444,0.097614444,0.020170555,0.649416667,0.0430088889999999,0.0060744449999999,0.010813333,0.026121111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.37,0.6,10.0,5.12,1024.51,7.38,0.06,266.0,0.0,3.95,0.0,clear-night
1.276123889,2014-01-01 05:00:00,1.233052778,0.174347222,0.118454445,0.011167778,0.0884233329999999,0.010972222,0.006308334,0.0412272219999999,0.009756111,0.094179444,0.020266667,0.65795,0.0430711109999999,0.0060599999999999,0.0108166659999999,0.026194445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,0.65,9.88,4.37,1024.83,7.47,0.0,261.0,0.0,5.11,0.0,clear-night
1.987450556,2014-01-01 06:00:00,1.944798334,0.926682778,0.098785,0.011863333,0.0935449999999999,0.011207778,0.006251111,0.0414766669999999,0.009756666,0.091301667,0.020419445,0.633508889,0.042652222,0.0058449999999999,0.010537222,0.02627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.66,9.9,3.9,1025.59,7.43,0.0,253.0,0.0,5.28,0.0,clear-night
2.2458177779999997,2014-01-01 07:00:00,2.203640555,1.218627222,0.073351667,0.012135555,0.093764444,0.011219444,0.006202222,0.041626111,0.012153889,0.092210556,0.020407222,0.621942223,0.042177223,0.005737778,0.01038,0.026059445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.79,0.67,9.95,4.45,1026.09,6.1,0.17,247.0,0.0,4.98,0.0,clear-night
3.1729077770000003,2014-01-01 08:00:00,2.485299443,1.113931111,0.089763334,0.011997778,0.094691666,0.0107816659999999,0.305781111,0.054135555,0.0109766669999999,0.102625,0.073409444,0.617206111,0.687608334,0.651154445,0.0107149999999999,0.025738889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.69,9.67,6.35,1026.79,5.14,0.0,253.0,0.0,6.18,0.0,clear-day
2.550322777,2014-01-01 09:00:00,2.508723888,1.163663889,0.1204949999999999,0.0119927779999999,0.1165155549999999,0.010933889,0.2416527779999999,0.0494661109999999,0.024227222,0.102488889,0.0553983329999999,0.611889444,0.041598889,0.005573889,0.010215,0.02581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.05,0.7,8.97,11.24,1027.79,3.7,0.0,295.0,0.0,8.93,0.0,clear-day
2.109384998,2014-01-01 10:00:00,2.013752777,0.637497777,0.1176216659999999,0.100208889,0.114537223,0.059037777,0.006037222,0.024697778,0.071228889,0.098957778,0.1788177779999999,0.60511,0.0956322209999999,0.059187777,0.010931666,0.025512778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29,0.65,9.29,7.31,1028.24,9.14,0.21,252.0,0.0,8.4,0.0,clear-day
2.5741361100000004,2014-01-01 11:00:00,2.4539438870000003,0.114774445,0.093898888,0.258632778,0.134763888,1.09911,0.005837778,0.026233888,0.008969444,0.0822894439999999,0.019655,0.6097783339999999,0.1201922229999999,0.080382778,0.014403334,0.025406111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.68,0.57,10.0,10.2,1028.07,7.54,0.0,276.0,0.0,6.92,0.0,clear-day
1.3914133340000001,2014-01-01 12:00:00,1.190517778,0.157372777,0.085862777,0.0110333339999999,0.081726667,0.010728889,0.006365556,0.046347778,0.009579444,0.079788889,0.10994,0.5917716670000001,0.200895556,0.164456667,0.0106,0.025838889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82,0.54,10.0,10.85,1027.53,8.53,0.0,270.0,0.0,6.69,0.0,clear-day
1.345992775,2014-01-01 13:00:00,1.251788331,0.225458889,0.084685,0.022035555,0.129235555,0.010723889,0.006133889,0.042022777,0.011385556,0.110339444,0.019514444,0.5902533329999999,0.094204444,0.058485,0.0104222219999999,0.025297222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.61,0.52,10.0,12.0,1027.25,8.26,0.53,278.0,0.0,6.52,0.0,partly-cloudy-day
2.641543892,2014-01-01 14:00:00,2.598762225,0.893703334,0.098844445,0.3087511109999999,0.137856667,0.010451667,0.0058683339999999,0.04074,0.3712244449999999,0.081631111,0.0470644449999999,0.602626666,0.042781667,0.006056111,0.010987778,0.025737778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.63,0.51,9.56,11.84,1027.15,8.53,,277.0,0.0,6.48,0.0,clear-day
