datetime,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Avg,Humidity_Avg
2024-01-01 00:00:00,95.816,394.6,0,0,1074,36.2,95.6
2024-01-01 00:00:00,95.816,394.6,0,0,1074,36.2,94.5
2024-01-01 00:00:00,95.816,394.6,0,0,1074,36.2,83.5
2024-01-01 00:00:00,95.816,394.6,0,0,1074,33.2,95.6
2024-01-01 00:00:00,95.816,394.6,0,0,1074,33.2,94.5
2024-01-01 00:00:00,95.816,394.6,0,0,1074,33.2,83.5
2024-01-01 00:00:00,95.816,394.6,0,0,1074,32.4,95.6
2024-01-01 00:00:00,95.816,394.6,0,0,1074,32.4,94.5
2024-01-01 00:00:00,95.816,394.6,0,0,1074,32.4,83.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,36.2,95.6
2024-01-01 01:00:00,97.174,402.2,0,27,1068,36.2,94.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,36.2,83.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,33.2,95.6
2024-01-01 01:00:00,97.174,402.2,0,27,1068,33.2,94.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,33.2,83.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,32.4,95.6
2024-01-01 01:00:00,97.174,402.2,0,27,1068,32.4,94.5
2024-01-01 01:00:00,97.174,402.2,0,27,1068,32.4,83.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,36.2,95.6
2024-01-01 02:00:00,148.424,611.2,0,0,1084,36.2,94.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,36.2,83.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,33.2,95.6
2024-01-01 02:00:00,148.424,611.2,0,0,1084,33.2,94.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,33.2,83.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,32.4,95.6
2024-01-01 02:00:00,148.424,611.2,0,0,1084,32.4,94.5
2024-01-01 02:00:00,148.424,611.2,0,0,1084,32.4,83.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,36.2,95.6
2024-01-01 03:00:00,163.868,673.4,0,28,1077,36.2,94.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,36.2,83.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,33.2,95.6
2024-01-01 03:00:00,163.868,673.4,0,28,1077,33.2,94.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,33.2,83.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,32.4,95.6
2024-01-01 03:00:00,163.868,673.4,0,28,1077,32.4,94.5
2024-01-01 03:00:00,163.868,673.4,0,28,1077,32.4,83.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,36.2,95.6
2024-01-01 04:00:00,145.868,599.4,0,0,1069,36.2,94.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,36.2,83.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,33.2,95.6
2024-01-01 04:00:00,145.868,599.4,0,0,1069,33.2,94.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,33.2,83.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,32.4,95.6
2024-01-01 04:00:00,145.868,599.4,0,0,1069,32.4,94.5
2024-01-01 04:00:00,145.868,599.4,0,0,1069,32.4,83.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,36.2,95.6
2024-01-01 05:00:00,148.78,612.0,0,2,1065,36.2,94.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,36.2,83.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,33.2,95.6
2024-01-01 05:00:00,148.78,612.0,0,2,1065,33.2,94.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,33.2,83.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,32.4,95.6
2024-01-01 05:00:00,148.78,612.0,0,2,1065,32.4,94.5
2024-01-01 05:00:00,148.78,612.0,0,2,1065,32.4,83.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,36.2,95.6
2024-01-01 06:00:00,101.412,414.0,0,26,341,36.2,94.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,36.2,83.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,33.2,95.6
2024-01-01 06:00:00,101.412,414.0,0,26,341,33.2,94.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,33.2,83.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,32.4,95.6
2024-01-01 06:00:00,101.412,414.0,0,26,341,32.4,94.5
2024-01-01 06:00:00,101.412,414.0,0,26,341,32.4,83.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,36.2,95.6
2024-01-01 07:00:00,79.928,326.6,0,0,0,36.2,94.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,36.2,83.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,33.2,95.6
2024-01-01 07:00:00,79.928,326.6,0,0,0,33.2,94.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,33.2,83.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,32.4,95.6
2024-01-01 07:00:00,79.928,326.6,0,0,0,32.4,94.5
2024-01-01 07:00:00,79.928,326.6,0,0,0,32.4,83.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,36.2,95.6
2024-01-01 08:00:00,82.51,337.4,0,28,0,36.2,94.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,36.2,83.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,33.2,95.6
2024-01-01 08:00:00,82.51,337.4,0,28,0,33.2,94.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,33.2,83.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,32.4,95.6
2024-01-01 08:00:00,82.51,337.4,0,28,0,32.4,94.5
2024-01-01 08:00:00,82.51,337.4,0,28,0,32.4,83.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,36.2,95.6
2024-01-01 09:00:00,63.054,260.6,0,0,0,36.2,94.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,36.2,83.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,33.2,95.6
2024-01-01 09:00:00,63.054,260.6,0,0,0,33.2,94.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,33.2,83.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,32.4,95.6
2024-01-01 09:00:00,63.054,260.6,0,0,0,32.4,94.5
2024-01-01 09:00:00,63.054,260.6,0,0,0,32.4,83.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,36.2,95.6
2024-01-01 10:00:00,35.154,155.6,0,7,0,36.2,94.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,36.2,83.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,33.2,95.6
2024-01-01 10:00:00,35.154,155.6,0,7,0,33.2,94.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,33.2,83.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,32.4,95.6
2024-01-01 10:00:00,35.154,155.6,0,7,0,32.4,94.5
2024-01-01 10:00:00,35.154,155.6,0,7,0,32.4,83.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,36.2,95.6
2024-01-01 11:00:00,159.114,663.4,542,418,815,36.2,94.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,36.2,83.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,33.2,95.6
2024-01-01 11:00:00,159.114,663.4,542,418,815,33.2,94.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,33.2,83.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,32.4,95.6
2024-01-01 11:00:00,159.114,663.4,542,418,815,32.4,94.5
2024-01-01 11:00:00,159.114,663.4,542,418,815,32.4,83.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,36.2,95.6
2024-01-01 12:00:00,123.61,517.8,582,31,565,36.2,94.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,36.2,83.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,33.2,95.6
2024-01-01 12:00:00,123.61,517.8,582,31,565,33.2,94.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,33.2,83.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,32.4,95.6
2024-01-01 12:00:00,123.61,517.8,582,31,565,32.4,94.5
2024-01-01 12:00:00,123.61,517.8,582,31,565,32.4,83.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,36.2,95.6
2024-01-01 13:00:00,176.868,755.6,0,1759,116,36.2,94.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,36.2,83.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,33.2,95.6
2024-01-01 13:00:00,176.868,755.6,0,1759,116,33.2,94.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,33.2,83.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,32.4,95.6
2024-01-01 13:00:00,176.868,755.6,0,1759,116,32.4,94.5
2024-01-01 13:00:00,176.868,755.6,0,1759,116,32.4,83.5
2024-01-01 14:00:00,109.16,449.6,0,266,1088,36.2,95.6
2024-01-01 14:00:00,109.16,449.6,0,266,1088,36.2,94.5
2024-01-01 14:00:00,109.16,449.6,0,266,1088,36.2,83.5
2024-01-01 14:00:00,109.16,449.6,0,266,1088,33.2,95.6
